|job_title|job_description|company|stars|salary_range
206|Laborers for Concrete Construction|"Laborers for Concrete Construction - Seattle, WA
# of openings

12

State/Location


Washington

Job Category


Laborers

Apply Now

Ceco Concrete Construction is the nation’s largest concrete subcontractor. Ceco was founded in 1912 and has more than 100 years of experience serving the commercial construction markets, partnering with our clients to provide value to projects of varying scope and complexity. #ceco# #cb#

Primary Responsibilities
Perform general construction labor to include jobsite clean-up and moving of materials by hand.
Operating motorized equipment including power tools, saws, hammers, nails, and bolts.
Work requires alert individuals with good balance and physical strength.
Assist in pouring of vertical concrete.
Install reshores per instructions.
Working during inclement weather, could be exposed to extreme cold and heat, noise and dust from construction operations depending upon project site.
Minimum Qualifications
Frequently lifting, carrying, pushing and pulling up to 50 pounds of material and up to 90 pounds of material with assistance, if requested.
Frequently walking, stooping, kneeling, reaching and climbing.
Frequent use of hand tools such as power tools, circular saws, hammers, nails, and bolts.
10 Hour OSHA Card.
Preferred Experience
Preference given to candidates with a minimum of 6 months of formwork / concrete construction labor work experience at meets or exceeds performance expectations.
30 Hour OSHA Card desired.
This position is governed by a collective bargaining unit. According to the terms of the CBA, applicants who are selected will be required to join the appropriate union within a certain period after hire. Details of union participation will be given to employees upon hire.
Applications valid through September 30, 2018.

Ceco Concrete Construction is an Equal Opportunity and Affirmative Action Employer.

Qualified candidates will be considered without regard to race, religion, sex, disability, veteran status, sexual orientation or gender identity."|Ceco Concrete Construction|3.9 ★|$16-$31 Per Hour(Glassdoor Est.)
207|Quality Control Manager (Construction)|"OverviewThis position will provide overall quality control coordination of the construction project for all phases through close out of the Sealaska Constructors project. Assists superintendent with daily QC activities. Periods of extensive travel may be required. The main purpose will be to deliver profitable complex projects on schedule, on budget with complete customer satisfaction, in a safe manner and within quality standards. Periods of travel may be required. Additional work activities may be assigned. This position will report administratively to the assigned Project Manager or Director of Operations & General Manager.
This role can be located anywhere is the US, must be willing to travel nationwide for extended periods of time.
Responsibilities

Examples of some of the primary work activities include, but are not limited to:
Inspection and documentation of all materials brought on site
Verification that materials match approved submittals or specs
Safety inspections
Quality control
Daily QC/Field reports and meetings
Daily inspections of building materials being installed
QC Plan Management
Liaison with USACE QA
Ensure all work meets plans and specs
Housekeeping, keep job sites clean and safe
Responsible for MSDS book, updates, and related paperwork
Daily coordination/communication with facility people
Daily compliance of Sealaska Constructors Safety program and policies
Daily control activities including air readings, barrier walk down, and documentation and correction as needed.
Daily communications with PM’S and PA’S following up on issues, PO’S, Submittals, etc.
Weekly quality control, safety and progress meetings
Weekly review of submittal register and necessary contacts to subs requesting outstanding submittals. (OFI-Do with PA/PM prior to job start & order together)
Weekly reporting of all necessary Sealaska Constructors documents- expenses, mileage, etc.
Confirm subs are updating as builts as required and Sealaska Constructors updates as well
Monthly reporting to Facility Environmental of all HAZMAT, MSDS, and documentation
Meeting attendance throughout projects with owners, subs, architects, engineers, SCL
Carry out execution of QC Plan, etc.;
Maintain on-going training requirements;
Address issues as they arise without delay;
Always look for and identify future opportunities for the company.
Ins

Qualifications

Requirements for the position include the following:
Exhibits high level ability to interpret plans and specifications;
Ability to lead the project process with a high degree of construction knowledge;
Minimum 5 years of construction experience without a college degree;
Familiarity with LEED requirements;
USACE Construction Quality Management for Contractors certification;
Detail oriented and thorough with good organization skills;
Exhibits good problem solving skills and shows logical process to decision making;
Willing to travel according to site visit needs;
Multi task oriented capable of running multiple tasks concurrently;
Ability to communicate effectively to all levels of project stakeholders;
Physical ability to navigate a construction site;
Follow all applicable Company programs, procedures and policies
Qualifications that are highly desirable but not mandatory are:
Maintains composure in a high stress environment;
Ability to relocate as needed;
Undergraduate or higher degree in construction management field
Experience with government/federal codes and standards required;
Experience with Design Build process;
ARC Standard First Aid/ Adult CPR;
Professional LEED certification;
Proficiency with all MS Office products
This position is conditional upon the offer letter, employee handbook, availability of work and contingent upon adherence to applicable company programs, procedures, background checks, contractual commitments and policies."|Sealaska|3.6 ★|$54K-$91K (Glassdoor Est.)
208|Engineering Manager - Platform|"At Sprout Social we are building software that is made to last. Our 24,000+ customers rely on us daily to reliably connect them with their customers, so scalability and performance are top of mind. Code quality is an essential ingredient to keeping our platform flexible and rapidly reacting to changes in the market and social media networks.

Our Reporting, Analytics, and Listening product suites enable our users to analyze social media activities and interactions to help them make critical business decisions. Our analytics systems execute at scale while staying nimble enough to keep up with new capabilities being offered by social network APIs. Our team uses a variety of technologies, including Java, Ruby, Mysql, Hadoop, Elasticsearch and Kafka.

Embedded as a member of one of our cross-functional engineering squads, you will be part of the day-to-day Agile development environment. Your role on the team will be that of 'player-coach,' working alongside your direct reports while also carving out time to help direct and support their professional development. While you should be excited about writing and shipping production-level code, we want you to be equally excited about the trajectory of your team and your part in forming them as stellar software engineers.

We're looking for a creative, collaborative, highly motivated, and inquisitive learner to build great software with us. If you confidently write web applications using Java and Ruby, are excited to guide other engineers with their careers, and are passionate about learning, we'd love to talk with you.

Within 1 month, you will:
Complete Sprout's New Hire training program alongside other new Sprout team members.
Develop and deploy changes to our Java and Ruby production systems.
Interact with MySQL and HBase data stores, Kafka messaging queues, and Elasticsearch.
Collaborate regularly with your product manager, QA engineers, and fellow developers to deliver value to our users.
Log into our remote Linux servers and monitor the status of our services.
Get regular team feedback on your code through code reviews.
Within 3 months, you will:
Focus on code quality with meaningful test coverage and legibility.
Decompose work into small, similarly sized units so that estimation is unnecessary.
Work with your product manager and fellow developers to create and prioritize quarterly team goals.
Contribute to our Agile culture of continuous improvement through retrospective meetings and experimentation-oriented thinking.
Build connections with members from other teams through guild meetings and chapter outings.
Participate in technical design meetings with your teammates to walk through new feature ideas.
Work with Product Managers, UX developers, and Front End Designers to come up with the MVPs of new features.
Be the first line of defense against product outages and bugs while on support duty.
Maintain and build upon systems that handle hundreds of thousands of messages a day.
Learn Sprout's management practices and tools.
Within 6 months, you will:
Meet with direct reports regularly and provide them with direct constructive feedback on their work as well as formulating career growth plans.
Participate in Engineering management discussions in order to learn from peer managers and to share lessons learned.
Participate in management workshops designed to level-up your feedback and coaching skills.
Mentor junior teammates to provide guidance and coaching on code implementation, design review, and other software engineering and Agile practices.
Integrate and use monitoring and alerting tools to know about problems before our users.
Be ""point person"" on a project, including writing design documents, coordinating dependencies, and acting as domain owner.
Create and manage concurrent, distributed systems.
Build your engineering skills by attending in-house presentations, workshops, and training sessions.
Form a career growth plan with your manager and work towards it.
Partner with the Infrastructure team to improve your team's ability to deliver reliable, highly available services.
Within 12 months, you will:
Complete career ladder and performance review evaluations for your direct reports.
Actively mitigate risk of failed delivery and missed deadlines through courageous, transparent communication with colleagues and stakeholders throughout a project life cycle.
Lead technical architecture meetings.
Identify technical debt and performance bottlenecks within our systems, come up with a plan to improve the code, and get it pushed to production.
Mentor junior developers, helping them level up technically.
Build connections with members from other teams through active networking and community building.
Have opportunities to contribute to in-house technical presentations and workshops that share your expertise with large groups of Sprout developers.
Surprise us! Use your unique ideas and abilities to change your team in beneficial ways that we haven't even considered yet.
Of course, what is outlined above is the ideal timeline, but things may shift based on business needs and other projects and tasks could be added at the discretion of your manager.

About Sprout Social
Sprout Social powers open communication between individuals, brands and communities through elegant, sophisticated software. We are relentless about solving hard problems for our customers and committed to both customer and team success.

Team Sprout is a group of very talented, smart and passionate people with broad interests and backgrounds. We believe that true employee engagement cannot happen if you can't bring your whole self to work, so we're committed to building a diverse team, embracing an inclusive culture and investing in equity across our organization. That dedication is core to Sprout. We want all candidates, particularly those coming from traditionally underrepresented groups in the technology industry, to know they are welcome at Sprout.

We're proud to regularly be recognized for software, product and company culture achievements. Our team's shared belief in Sprout's mission promotes a culture of openness, empowerment and fun. We have built a benefits program to match the strength of our team. This program includes:
Insurance and benefit options that are built for both individuals and families, including generous company contributions
Progressive benefit programs, like our parental leave program
High-quality and well-maintained equipment - your computer will never prevent you from doing your best
Beautiful, convenient and state-of-the-art offices in downtown Seattle
Solid programs in some of the staples: transportation, disability and life insurance
Wellness initiatives to ensure both health and financial well-being of our team
Growing corporate social responsibility program that is driven by the involvement and passion of our team members
Sprout Social is an equal opportunity employer. Anyone seeking employment here is considered without regards to race, color, religion, national origin or ancestry, sex (including sexual identity), age, physical or mental disability, pregnancy, veteran or military status, unfavorable discharge from military service, genetic information, sexual orientation, marital status, order of protection status, citizenship status, arrest record or expunged or sealed convictions, or any other legally recognized protected basis under federal, Washington, or local law. We value the things that make us different and want to see how you can make our team better!"|Sprout Social|4.8 ★|$156K-$204K (Glassdoor Est.)
209|Sr Network Planning Program Manager|"Job Description
We’re developing the future of transportation that will solve extreme-scale, real world challenges. If you are seeking an iterative, fast-paced environment where you can drive innovation and apply state-of-the-art technologies, this is your opportunity. Come work on the Amazon Prime Air Team!

We are looking for a Senior Network Planning Program Manager. In this role, you will utilize supply chain optimization and data modeling best practices to develop proposed implementations for Prime Air infrastructure.


The ideal candidate is a creative, demonstrated manager with superior analytical abilities. This role requires excellent technical, problem-solving, and communication skills. You must be able to develop handmade optimization models, and visualize long term scenarios/solutions. You must be able to derive solutions and build/present recommendations from your analysis, supporting long term investments plans.

Basic Qualifications
Bachelor's Degree in CIS/operations research/supply chain/economics/math or related technical field
5+ years of relevant work experience in supply chain engineering/management/optimization
Demonstrated experience with data modeling/visualization programs—R, Python, and/or Tableau
Experienced with SQL- constructing databases and building analytical reports for strategic decision making
Proven analytical thinking, skills in metrics creation, and exceptional organizational skills
Deep understanding of supply chain cost structures: fixed, variable, and transportation
Familiarity in expansion planning and project management
Experience communicating and presenting project status updates to senior management
Experience working in an operational setting, including field operations or operational planning functions
Excellent speaking-listening-writing skills, attention to detail, proactive self-starter
Export Control License
This position may require a deemed export control license for compliance with applicable laws and regulations. Placement is contingent on Amazon’s ability to apply for and obtain an export control license on your behalf.

Preferred Qualifications
Master’s Degree or PHD in CIS/operations research/supply chain/math or related technical field
Familiarity with other linear/nonlinear modeling analytical tools
Experience in commercial aviation, with an emphasis on aerospace supply chains
A passion for aviation, and experience with commercial or recreational piloting
The desire to work in a fast paced and constantly evolving environment
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.



Apply Now at Amazon"|Amazon|3.8 ★|$91K-$129K (Glassdoor Est.)
210|Data Analyst - Bits|"Twitch is seeking an experienced Data Analyst to be part of a small but nimble team focused on driving data insights for the Bits product and business teams.

Data is central to Twitch’s decision-making process, and analysts are a critical component to evangelize data-driven decision making in all of our operations. As a Data Analyst at Twitch, you will be in on the ground floor with the Bits business team, shaping the way performance is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business. Additionally, you will play a key role in supporting the vision for business analytics, solutions architecture for data related business constructs, as well as tactical execution such as campaign performance reporting. Ultimately, you are paving the way for high quality, high velocity decisions making in support of growth.

For this role, we're looking for an experienced data analyst who will be working cross functionally with the go-to-market functions, including growth marketing, product marketing, content marketing, events, and brand. You will be responsible for driving insights to inform our channel investments (both on-platform and off-platform) as well as provide guidance on success/failure metrics.
Responsibilities
Evangelize data knowledge and insights: manage communications with your stakeholders and other teams, collaborate with both technical and non-technical colleagues to complete data projects and ensure all parties can use the insights to further improve.
Maintain a customer-centric focus: strive to be a domain and product expert through data, develop trust amongst your peers and stakeholders, and ensure that your team has access to data to make decisions.
Prioritize and execute in the face of ambiguity: work with stakeholders and mentors to distill the problem, adapt your tools to answer complicated questions, and identify the trade-offs between speed and quality of different approaches.
Create analytical frameworks to measure team success: partner with cross-functional teams to define success metrics, create approaches to track the data and troubleshoot errors, quantify and evaluate the data, then develop a common language for all colleagues to understand these KPIs
Support data processes - provide the team with ad-hoc analysis, automated dashboards, and self-service reporting tools so that everyone gets a good sense of the state of the business
Requirements
2+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or business unit.
Expert SQL skills. Ability to tap into Twitch’s data pipeline will be key to success.
Proven track record of using data to generate insight and drive business results.
Fluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining KPI strategy for your business.
Strong written and verbal communication skills.
Sound business judgment; strategic and analytical capabilities
Ability to prioritize and multitask; ability to adapt to a fast moving environment
Excellent team player with ability to maintain strong internal and external relationships
Bachelor’s degree required
Bonus Points
Technical background with some programming experience
Statistics and AB testing experience or knowledge is always a plus
Passion for video gaming and Twitch
Perks
Full benefits, including medical, dental, vision and life
401(k) savings plan with a company match
Catered daily lunch and dinners (and hearty breakfasts three times a week)
Unlimited snacks and drinks
Monthly in-office massages
Corporate gym membership
Commuter benefits
Flexible time off policy
Weekly happy hours and opportunity to attend one gaming event or tournament
Top of the line technology to help you build your own workspace
Twitch is the world’s leading video platform and community for gamers, with more than 100 million visitors per month. We connect gamers from around the world by allowing them to broadcast, watch, and chat with each other. Twitch’s live and on-demand video platform forms the backbone of a distribution network for video game broadcasters including pro players, tournaments, leagues, developers and gaming media organizations. Twitch is leading a revolution in gaming culture, turning gameplay into an immersive video experience. Learn more at: http://twitch.tv

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."|Twitch|3.3 ★|$58K-$99K (Glassdoor Est.)
211|Sr. Product Manager|"Job Description
Sr. Product Manager, Time and Attendance – PeopleTech

PeopleTech is looking for a Sr. Product Manager to shape the future to lead complex projects and implement best-in-class Time and Attendance solutions.

----------------------------------------------------

What is Time and Attendance all about?

We’ve all heard about 24/7/365. That’s 8760 hours in a year. Now multiply that by the hundreds of thousands of hourly workers at Amazon … those who work in our fulfillment, customer service and data centers; employees in our growing number of Amazon Books bookstores and more. On every continent (well, ok, not Antarctica… at least, not yet). Factor in the crazy number of different variations of a “work week,” work day, overtime, and an equally daunting amount of reporting requirements.

Can you keep track of which of those were work hours and which are not? Difficult… yes? Excited yet?

Are you up for the challenge? Think big and join the team that will track billions of hours a year to ensure our employees are paid accurately.

Who are we looking for to join our team?

PeopleTech is looking for a smart, inventive Product Manager who is passionate about building and launching highly functional Time and Attendance systems all over the world. The best candidates will rely on data, insights and customer input to construct the product vision, and will bring experience managing complex projects, launching and implementing large-scale systems, and cultivating deep trust with key stakeholders. Responsibilities include owning a portfolio of global project implementations and launches, sifting through competing priorities and complex requirements to clarify and solidify the roadmap, driving change management strategy and execution, and establishing and measuring key performance metrics to assess implementation success. Above all, success is predicated on meticulous organizational skills, high attention to detail, spot-on judgement, and ultimately an unbending predisposition that vigorously advocates for the customer.

If your immediate reaction is a Bill Murray-esque “me, me, me also;” or even “I am really close on this one…” then we want to hear from you!

Basic Qualifications
· 5+ years of Product or Program Management experience in a complex environment
· Demonstrated skills in developing product roadmaps & functional specifications, launching new products, conducting customer research, and facilitating user testing.
· Successful record of implementing new systems and processes with measurable results, ability to build tools and frameworks that facilitate deployment and change in a complex organization
· Excellent writing skills
· Strong organizational skills with demonstrated ability to manage multiple high-complexity projects
· Strong verbal communication and presentation skills; sufficient poise to successfully interact with all levels of an organization, cross-functional partners, and customers.
· Quantitative background with proven ability to synthesize and make sense out of huge amounts of data
· Passion for technology, curiosity to dive deep into Amazon’s suite of technical products and commitment to learning and expanding technical knowledge
· 4-year BA/BS required
Preferred Qualifications
· Proven ability to identify, analyze, and solve ambiguous problems independently with an extreme attention to detail
· Strong strategic aptitude; proven ability to define the right business strategy and develop the product roadmap to deliver it
· Demonstrated ability to successfully influence stakeholders without formal authority, leading cross functional teams across geographies and business units
· Excellent customer experience intuition; demonstrated success in creating innovative and user-friendly products and customer-facing features
· Technical fluency; comfort understanding and discussing technology concepts, experience evaluating tradeoffs and new opportunities with technical team members
· MBA or relevant graduate degree


Apply Now at Amazon"|Amazon|3.8 ★|$116K-$163K (Glassdoor Est.)
212|Assistant Project Manager|"Transwestern is an innovative commercial real estate company - regularly voted as a ""Best Place to Work"" in many U.S. markets - that is looking for an Assistant Project Manager to grow our talented team in Bellevue, Washington. The Assistant Project Manager implements and administers the policies, procedures, and programs on a day-to-day basis that will assure that construction projects are well managed.

It is also the responsibility of the Assistant Project Manager not only to exhibit legendary customer service when communicating with owners and vendors but also to focus on productivity and results.

ESSENTIAL JOB FUNCTION:
Meet with department representatives, architects, engineers and consultants to establish project requirements, specifications and schedules.
Support Project Manager/Vice President Construction and Engineering with ongoing construction programs.
Coordinate development and approval of architectural and engineering construction drawings.
Solicit, prepare and review bid documents and negotiate contracts.
Understand, populate and maintain Transwestern construction project documentation
Understand process of CM Fees, maintain relevant documents and maintain Transwestern construction project documentation.
Enforce contractual requirements.
Monitor and maintain construction project schedule; serve as liaison between client and contractors.
Prepare project documentation and direct project meetings.
Inspect projects to ensure conformance with local, state and federal construction codes and in accordance with contract design specifications.
Ensure efficient operations of all HVAC and electrical/mechanical systems; inspect sites and implement procedures to minimize loss of assets and production time.
Develop project budgets and schedules.
Supervise customer relocation.
Responsible for all projects reporting.
POSITION REQUIREMENTS:
High school diploma or GED equivalent.
Preferable a bachelor’s degree in architecture, engineering, construction management, a related field or equivalent experience.
At least one-year experience in commercial construction as either a project manager, project coordinator, or superintendent for a general contractor or owner’s representative project manager.
Knowledge and understanding of construction practices/techniques, Title III of ADA, contract laws, project controls and building support systems.
Must have intermediate to advanced Microsoft Word, Excel, Project.
Knowledge of typical client specified capital funding practices.
Project accounting experience.
Manage own time on a daily basis with little supervision.
Must be able to handle multiple projects, changing priorities and continually heavy workloads.
Strong desire to succeed in an entrepreneurial environment.
Exceptional oral and written communication skills.
Strong customer service orientation.
APPLY TODAY to be a part of an energetic and motivated team of professionals!

Transwestern offers an exciting work environment, competitive salary and excellent benefits, which include medical, dental and vision coverage, as well as a 401(k) plan. Transwestern is an equal opportunity employer. No phone calls please.

Required Skills

Required Experience

Job Location
Bellevue, US-WA"|Transwestern|3.7 ★|$54K-$77K (Glassdoor Est.)
213|Senior Data Analyst|"About the position

Data is central to Twitch’s decision-making process, and analysts are a critical component to evangelize data-driven decision making in all of our operations. As a Data Analyst at Twitch, you will be in on the ground floor with the Twitch Ads team, shaping the way success is measured, defining what questions should be asked, and scaling analytics methods and tools to support our growing business. Additionally, you will play a key role in supporting the vision for business analytics, solutions architecture for data related business constructs, as well as tactical execution such as campaign performance reporting. Ultimately, you are paving the way for high quality, high-velocity decisions making in support of growth.

For this role, we're looking for an experienced data analyst who will be responsible for data instrumentation, dashboard/report building, metrics reviews, inform channel investments, guidance on success/failure metrics and ad hoc analysis. You will also have the opportunity to interact with technical and non-technical staff members throughout the company, and your effort will have a direct impact on hundreds of stakeholders at Twitch.
Responsibilities
Evangelize data knowledge and insights: manage communications with your stakeholders and other teams, collaborate with both technical and non-technical colleagues to complete data projects and ensure all parties can use the insights to further improve.
Maintain a customer-centric focus: strive to be a domain and product expert through data, develop trust amongst your peers and stakeholders, and ensure that your team has access to data to make decisions.
Prioritize and execute in the face of ambiguity: work with stakeholders and mentors to distill the problem, adapt your tools to answer complicated questions, and identify the trade-offs between speed and quality of different approaches.
Create analytical frameworks to measure team success: partner with cross-functional teams to define success metrics, create approaches to track the data and troubleshoot errors, quantify and evaluate the data, then develop a common language for all colleagues to understand these KPIs.
Support data processes - provide the team with ad-hoc analysis, automated dashboards, and self-service reporting tools so that everyone gets a good sense of the state of the business
Requirements
4+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or business unit.
Expert SQL skills. Ability to tap into Twitch’s data pipeline will be key to success.
Proven track record of using data to generate insight and drive business results.
Fluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining KPI strategy for your business.
Strong written and verbal communication skills.
Sound business judgment; strategic and analytical capabilities.
Ability to prioritize and multitask; ability to adapt to a fast moving environment.
Excellent team player with ability to maintain strong internal and external relationships.
Bachelor’s degree required.
Bonus points
Experience with Ad, 3rd party viewability, and insights platforms: MOAT, ComScore, Nielsen, Amazon Ad Exchange.
Perks
Full benefits, including medical, dental, vision and life.
401(k) savings plan with a company match
Catered daily lunch and dinners (and hearty breakfasts three times a week).
Unlimited snacks and drinks.
Monthly in-office massages.
Corporate gym membership.
Commuter benefits.
Flexible time off policy.
Weekly happy hours and opportunity to attend one gaming event or tournament.
Top of the line technology to help you build your own workspace.
Twitch is the world’s leading video platform and community for gamers, with more than 100 million visitors per month. We connect gamers from around the world by allowing them to broadcast, watch, and chat with each other. Twitch’s live and on-demand video platform forms the backbone of a distribution network for video game broadcasters including pro players, tournaments, leagues, developers and gaming media organizations. Twitch is leading a revolution in gaming culture, turning gameplay into an immersive video experience. Learn more at http://www.twitch.tv and http://science.twitch.tv.

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."|Twitch|3.3 ★|$83K-$137K (Glassdoor Est.)
214|Sr. Custom Contract Specialist|"Job Description
Amazon Web Services (AWS) provides companies of all sizes with an infrastructure web services platform in the cloud (“cloud computing”). With AWS you can procure compute power, storage, and many other services – gaining access to a suite of elastic IT infrastructure services as your business demands them. AWS is the leading platform for designing and developing applications for the cloud and is growing rapidly with hundreds of thousands of companies worldwide on the platform.

AWS’ growth is driving a rapid expansion of its world-wide sales team and has the need for a detailed, process orientated individual who will own the creation of our custom Premium Support contracts. This will include managing the workflow of custom Premium Support contract creation, working to build and oversee a scalable process for custom Premium Support contract review and creation, and continuing to improve on existing processes. The successful candidate must be a strong communicator, be proficient with contractual verbiage, have experience with drafting contracts including pricing constructs, as well as a passion for infrastructure development and expansion.

AWS has a strong culture of data-driven decision-making requiring timely, accurate, and actionable intelligence that delivers significant business value. The Premium Support program continues to be one of AWS’s largest custom pricing programs and is rapidly growing. Due to this growth, we need an individual to help streamline the creation of these deals and work to develop a scalable process. This is a wonderful opportunity to help build and drive a process to better service our customers while ensuring all custom Premium Support contracts are created efficiently and accurately.
Key Responsibilities
- Own the process of creating custom contracts including the creation of documentation, gathering approvals, tracking status, communication between key parties, and routing of signatures
- Act as the primary resource for in-house reporting including operational volume forecasts, pipeline summaries, and metric tracking
- Utilize various systems to gather requirements and draft documentation including approvals and executables
- Actively participate/drive process and system improvements
- Proactively identify and implement data improvements, enhancements, and system customizations that meet business requirements
- Retrieve and analyze data using Excel, Salesforce.com, and other data management/BI systems
- Proactively identify and implement operational improvements, enhancements, and system customizations that meet business requirements
- Communicate effectively across all related channels including legal, sales, and business operations
- Work to streamline downstream processes including cross team coordination, audit processes, and program implementation

Basic Qualifications
- Bachelor’s degree
- 3-4+ years of relevant professional experience
- Track record retrieving and analyzing data using Salesforce.com or other CRM/BI systems
· Have a strong background in contract creation/review, very comfortable with contractual verbiage
·Strong business analysis and functional experience with quantitative, analytical and organizational skills

Preferred Qualifications
- Advanced Excel skills (Macro creation/implementation)
- Strong attention to detail and excellent problem solving skills
- Strong verbal/written communication and data presentation skills, including an ability to effectively communicate with both business and technical teams
- Excellent working knowledge of Salesforce.com
- Experience with project management including leading projects from the capturing of requirements to implementation
- Experience working with custom contracts including conceptualizing and drafting of documentation
- Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects
- Highly organized, have multi-tasking skills, and efficient in ambiguous situations
- Strong attention to detail and excellent problem solving skills

- Master's Degree/J.D.

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.


Apply Now at Amazon"|Amazon|3.8 ★|$53K-$94K (Glassdoor Est.)
215|Senior Development Manager - New Construction|"About the teamOpportunities in this role:
Work at one of Seattles highly-rated workplaces
Enjoy a fantastic work-life balance with daily releases and no pager duty
Build new features within a small, agile team
Responsibilities for this role include:
Iterating quickly with a small team of developers.
Hands-on coding in addition to managing 3-6 developers
Building systems that surface homebuilder data to buyers
Full stack development and pragmatic architecture recommendations and decisions
Crafting features that reach more than 166 million monthly unique users.
Developing code that will ship within hoursAbout the role

Leave used homes in the rubble! Zillows new construction team brings unique houses online with industry-first products that delight home shoppers and help builders advertise homes on the world's largest real estate network. Our group develops both sides of the marketplace: Zillow's features for homebuyers and New Home Feed, a powerful listing input site for the industry. In this role, you will manage a team focused on the buyers in the marketplace: everything related to creating the best new construction shopping experience on the web.

Who you are
BS in Computer Science or related field or equivalent experience
You have five years of full stack experience, with recent experience demonstrating passion for developing consumer-facing features
You have two years of experience managing a team
You love analytics and sharing data to help our designers make great decisions.
You have experience mentoring developers and providing technical leadership.
You have cross team collaboration experience
You understand the new home buying experience or want to learn
Get to know usZillow Group houses a portfolio of the largest and most vibrant real estate and home-related brands on the web and mobile. Our mission is to build the largest, most trusted and vibrant home-related marketplace in the world.

Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."|Zillow|4.2 ★|$152K-$239K (Glassdoor Est.)
216|Reception/Office Coordinator for Construction Firm|"This Position Features:
Accessible Location With Free Parking
Work For A Leader In The Community With Strong Reputation
Work with great people and keep busy!
Immediate need for a Receptionist/Office Coordinator seeking accessible location with free parking, work for a leader in the community with strong reputation and fast-paced environment. Go-getter who has a lot of drive, a chameleon who can work well with all personality types and who is technology savvy with strong organization skills will be keys to success in this growing organization. Will be responsible for being the director of first impressions for this company and providing direct support to department managers in expediting service paperwork, being a back up for customer accounts and assisting in other areas as needed. Pet friendly offering great benefits. Apply for this great position today!"|AppleOne|3.2 ★|$12-$19 Per Hour(Glassdoor Est.)
