|job_title|job_description|stars|salary_range
276|Environmental Scientist|"Tracking Code

EPS 2636-585

Job Description

CALIBRE is seeking an Environmental Scientist with at least four years of relevant experience who has an interest and or experience in soil and groundwater remediation, hazardous waste, water and wastewater environmental permitting and compliance, solid waste, , and construction services. The position requires participation in all phases of projects with a considerable emphasis on field work (30-30 %+ in Seattle, Renton, and Arizona). Additionally, office work including report preparation, data compilation, and project coordination is required). The ideal candidate needs to be a self-motivated, detail-oriented, well-organized Geologist, Engineer, or Environmental Scientist to join our firm working from a home-office in the Seattle area. Candidates can expect to work on teams of engineers and scientists from various backgrounds and experience levels. Position requires adherence to health and safety procedures, attention to detail, strong work ethic and excellent communication skills.

Responsibilities will include a combination of field and office related tasks.

Field activities may include the following:
Soil, groundwater, and air sampling in compliance with State/Federal standards
Operation and maintenance of surface remediation systems
Oversight of drilling operations (installing monitoring wells and soil or rock descriptions)
Subcontractor oversight
Office responsibilities may include the following:
Data management (compilation, manipulation, and evaluation of data)
Assisting with writing and preparing technical reports, work plans, letters, and memoranda
Coordinating work schedules with subcontractors
Conducting project related research (historical data, regulations, etc.)
Preparing periodic status/program reports
Figure/map/boring log production
Required Skills

Required Skills:
This position requires both field and office work, field work may be performed at project sites with environmental media (e.g., soil, sediment, groundwater, surface water, etc.) impacted with hazardous substances and/or hazardous wastes.
Candidates must also be able to meet the physical demands associated with performing field work, including lifting heavy equipment, working in a standing position for extended periods of time, working outdoors in inclement weather.
Candidates must demonstrate strong communication skills, the ability to work well in a team environment, a strong background in MS Office, and desire to pursue a career in the environmental sector.
The ideal candidate will have efficient time management and the flexibility required to support different project managers concurrently.
Required Experience

Must have a Bachelor's Degree in Geology, Chemistry, or other related science field from an accredited college/university or equivalent work experience.
Must have a minimum of 4+ years of directly related experience.
CALIBRE is an Equal Opportunity Employer and supports transitioning service members, veterans and individuals with disabilities. We offer a competitive salary and full benefits package. To be considered, please apply via our website at www.calibresys.com. Come join our dynamic team!

Job Location

Seattle, Washington, United States

Position Type

Full-Time/Regular"|3.6 ★|$49K-$74K (Glassdoor Est.)
277|Applied Scientist- Risk|"About the teamYou will join a new team at Zillow tackling the analytic problems around creating a dramatically better real estate experience for everyone from sellers to investors, looking beyond our current product offerings to push the boundaries of what is possible. We are always looking for the best model for the job, whether it is a random forest, deep neural nets, matrix factorization, or GLM and if we cannot find one, we will invent it. At the center of Zillow’s effort to create the future of real estate, this team will be responsible for creating on innovative solutions to challenging problems, many entirely new for the company but all central to our mission to empower the consumer and transform the real estate industry by building a true marketplace.About the role

Zillow is looking for extraordinary Senior and Principal Applied Scientists to join a growing team on a mission to give consumers certainty and control when selling their home with a broad mission - build data science and machine learning products that will power the next stage of Zillow’s growth. In particular Zillow is launching a new venture with a focus on using our unparalleled data and view into housing markets to help build a world-class platform for real estate marketplace optimization. In the Instant Offers product, Zillow buys homes directly from interested homeowners, thereby sparing them the tremendous stress and effort of selling. Instead, we take that upon ourselves by quickly preparing these homes for the market and re-selling them. This is a key initiative at Zillow as we aim to define the future of real estate. You will work with a team of applied scientists and machine learning engineers to:
Formulate and solve risk management problems focused on our growing portfolio of real-estate inventory
Create simulation tools that forecast future risk, liquidity, and distributions of profit/loss using historical data and macroeconomic/econometric models and assumptions
Quantify and hedge risk factors associated with a portfolio of houses using techniques from financial engineering
Who you are
A Master's degree and 4+ years of experience or a PhD and 1-2 years experience in a highly analytical role in a financial services or technology setting with experience in financial modeling
A graduate degree (MS or PhD) in Computer Science, Statistics, Mathematics, Operations Research, Economics, Econometrics, Quantitative Finance, or a related discipline.
Strong knowledge of financial markets, and understanding of investment processes as well as demonstrated experience leveraging technology to achieve data and analytic solutions
Knowledge of algorithms for statistical inference and supervised/unsupervised learning with the ability to go beyond using existing algorithms and packages.
Expertise with the data analysis languages Python and/or R and particularly statistical/computational packages, as well as proficiency querying data from a variety of data stores.
Experience programming on large scale distributed systems such as Spark or Hadoop a plus.
Get to know usZillow Group houses a portfolio of the largest and most vibrant real estate and home-related brands on the web and mobile. Our mission is to build the largest, most trusted and vibrant home-related marketplace in the world.

Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."|4.2 ★|
278|Sr Data & Applied Scientist|"“I fundamentally believe that if you are not learning new things, you stop doing great and useful things” – Satya Nadella, Microsoft CEO

The Microsoft Learning Strategy and Insights team within the Worldwide Learning group is composed of insatiably curious, self-directed, motivated, results-driven people. We passionately support Microsoft employees, customers and channel partners with the training and development required for them to fulfill their business and personal potential. We are seeking analysts of like mindset who are driven by curiosity, take risks, and have a passion for problem solving.

The Learning and Insights team’s charter includes:
Shaping and influencing the learning strategy for Microsoft.
Bringing together deep contextual understanding with data to understand and improve impact.
Using analytical methods to derive insights about learning impact.
Managing and influencing a cycle of communications and stakeholder engagements.
Communicating key metrics to support business objectives.


This D&AS role on the Learning Strategy and Insights team provides insights about the business impact of Microsoft’s learning and development programs and products for customers, partners, employees and other audiences.

To be successful in this role, you must be highly motivated, curious, able to tell an executive-level story with data, analytical, detail oriented, and comfortable with ambiguity. In addition, a successful candidate will have the ability to work with quantitative, engineering and business teams and be able to forge trusted relationships with stakeholders.

Responsibilities
Seek and identify new impactful areas for exploration and investigation
Collaborate with stakeholders to frame problem statements clearly and delight on expectations
Lead project teams of subject-matter experts and data scientists to inform and execute your investigative approach
Perform deep-dives to analyze data and bring context to bear with data
Influence stakeholders and leadership on courses of action based on your findings
Coach and share knowledge across the team
Qualifications
MBA/Masters
4+ years’ post degree experience in research, analysis or statistics related work
Advanced Excel and PowerPoint skills
Experience with Power BI, Tableau, SQL preferred
Experience with R, Python preferred
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."|4.1 ★|
279|Data Scientist with forecasting experience|"We have an urgent position for Data Scientist with forecasting experience. Please see the details mentioned below.
Job Description:
Advanced degree (M.S or PhD preferred) in Engineering, Math, Statistics, Economics, Computer Science or comparable industry experience.
7+ relevant experience in Data Science with expertise in solving complex forecasting problems
Simulation modeling experience with strong understanding of fundamental probability and statistics
Collaborate with team to adjust forecasts based on varying economic objectives
Excellent verbal and written communication skills with the ability to present analytical processes, modeling results and insights to diverse audience (business planning, product development, research scientists)
Experience working in Big data and ML technologies - Cosmos, R, Python, SQL
Domain expertise working with consumer electronic product telemetry data a big plus

For more information, please contact Ravi Shekhar at ravi.shekhar@brillio.com
About Brillio
Brillio is a global technology consulting ?rm focused on optimizing innovation and application modernization in the Banking & Finance, Utilities, CPG, Retail, Technology, Media and Entertainment Industries. The Brillio difference is in our agility, business-focused innovation and deep industry expertise. Visit us at www.brillio.com
provided by Dice
Data Science, Forecasting, Big Data, Machine Learning, Cosmos, R, Python"|3.1 ★|$89K-$129K (Glassdoor Est.)
280|Data Scientist Predictive/Statistical (Full Time) (GC OR USC)|"Hi,
Hope you are doing great!

Role-Data Scientist – Predictive/Statistical

Location-WA

Type-Full Time
Role

Data Scientist – Predictive/Statistical (R - Analytics Platform, SQL, Power BI, Cosmos)
Role Description

Discussion with business stakeholders to understand the current process and targeted goals.
Hands on experience in predictive analytics and statistical tools.
Distill the discussion in to set of hypothesis to be validated
Proficient in acquiring and analyzing data in SQL data warehouse systems
Should lead and guide the team through descriptive and inquisitive analytics
work with data owners to understand the data schema
Present the findings to stakeholders
Good in data science concepts and practices
Mandatory Technical Skills

SQL
Power BI
COSMOS
R - Analytics Platform
Desirable Technical Skills

Understanding of Kusto, Azure Dataware House, Azure Data Factory
Mandatory Functional Skills

Experienced in managing work at offshore/onsite
Good in statistical modelling
Experience working in SCRUM methodology
Proven sense of high accountability and self-drive to take on and see through big challenges
Confident, takes ownership, willingness to “do what it takes” to get the job done
Excellent verbal communications and cross group collaboration skills
Great problem solving skills
Desirable Functional Skills

Data Warehousing Principles, Reporting
Total Experience Required

7+ years

Please share profile at viplav.mandal@altusmesu.com

- provided by Dice

R - Analytics Platform, SQL, Power BI, Cosmos DB"||
281|Data Coordinator I|"Overview

Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutch’s pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nation’s first cancer prevention research program, as well as the clinical coordinating center of the Women’s Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.

The Data Coordinator is responsible for the collection, coordination, processing, and quality control of clinical trial data. The incumbent works with limited supervision in performing work assignments, and uses judgment in data collection, quality control, and liaison activities.

Responsibilities
Review and monitor patient/participant clinical trial data
Abstract and code information such as patient/participant treatment and progress
Perform routine audits to insure quality and completeness of the data submitted
Serve as a liaison and reference resource to Physicians, Investigators, other staff members, and other organizations with questions about data collection or protocol procedures and requirements
Monitor adherence to protocol, investigating any violation
Maintain computer database
Participate in committees with regard to data quality assurance
Maintain ongoing contact with data suppliers to insure timely and complete delivery of data
Coordinate special projects
Provide input to support policies and goals of the department
Perform other duties as assigned
Qualifications
BA/BS, RRA (Registered Records Administrator), ART (Accredited Records Technician), or two year degree in the medical field
Two years of experience in medical records, cancer registry, or related field
Strong computer skills and experience working with databases
Strong verbal and written communication skills
Knowledge of medical terminology
Knowledge of statistics preferred
Our Commitment to DiversityWe are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700."",""datePosted"":""2018-08-01T00:00:00.000Z"",""title"":""Data Coordinator I"",""occupationalCategory"":""Clinical Research Support Services"",""@context"":""http://schema.org"",""url"":""https://careers-fhcrc.icims.com/jobs/11890/data-coordinator-i/job""}
Please Enable Cookies to Continue

Please enable cookies in your browser to experience all the personalized features of this site, including the ability to apply for a job.

Welcome page

Returning Candidate?

Log back in!

Data Coordinator I

Job ID

11890

Type

Regular Full-Time

Company

Fred Hutchinson Cancer Research Center

Location

US-WA-Seattle

Category

Clinical Research Support Services

Overview
Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutch’s pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nation’s first cancer prevention research program, as well as the clinical coordinating center of the Women’s Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.

The Data Coordinator is responsible for the collection, coordination, processing, and quality control of clinical trial data. The incumbent works with limited supervision in performing work assignments, and uses judgment in data collection, quality control, and liaison activities.

Responsibilities
Review and monitor patient/participant clinical trial data
Abstract and code information such as patient/participant treatment and progress
Perform routine audits to insure quality and completeness of the data submitted
Serve as a liaison and reference resource to Physicians, Investigators, other staff members, and other organizations with questions about data collection or protocol procedures and requirements
Monitor adherence to protocol, investigating any violation
Maintain computer database
Participate in committees with regard to data quality assurance
Maintain ongoing contact with data suppliers to insure timely and complete delivery of data
Coordinate special projects
Provide input to support policies and goals of the department
Perform other duties as assigned

Qualifications
BA/BS, RRA (Registered Records Administrator), ART (Accredited Records Technician), or two year degree in the medical field
Two years of experience in medical records, cancer registry, or related field
Strong computer skills and experience working with databases
Strong verbal and written communication skills
Knowledge of medical terminology
Knowledge of statistics preferred

Our Commitment to Diversity
We are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700.

Options
Apply for this job onlineApply
Share
Refer this job to a friendRefer

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed



Not ready to apply? Connect with us for general consideration.

Application FAQs

Software Powered by iCIMS
www.icims.com"|4.1 ★|$47K-$83K (Glassdoor Est.)
282|Data Engineer, Alexa Shopping|"Job Description
At Alexa Shopping, we strive to enable shopping in everyday life. We allow customers to instantly order whatever they need, by simply interacting with their Smart Devices such as Echo or Fire TV. Our Services allow you to shop, no matter where you are or what you are doing, you can go from 'I want that' to 'that's on the way' in a matter of seconds. We are seeking the industry's best to help us create new ways to interact, search and shop. You will have an impact on Amazon's new devices and the way shopping is done in the area of IoT. Join us, and you'll be taking part in changing the future of everyday life.

As a Data Engineer you will be working in one of the world's largest and most complex data warehouse environments using latest set of toolsets. We help product teams at VANS build the future of shopping by providing metrics on new features and help them perform A/B testing which will act as feedback loop for voice user experience. Our team is responsible for mission critical analytical reports and metrics that are viewed at the highest levels in the organization. We are also working on near real time analytics using Kinesis Firehose and using the latest set of tools for data visualization and investing in Big Data technologies. You should have deep expertise in the design, creation, management, and business use of extremely large datasets. You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions, and to build data sets that answer those questions. You should be expert at designing, implementing, and operating stable, scalable, low cost solutions to flow data from production systems into the data warehouse and into end-user facing applications. You should be able to work with business customers in a fast paced environment understanding the business requirements and implementing reporting solutions. Above all you should be passionate about working with huge data sets and someone who loves to bring datasets together to answer business questions and drive change.
Basic Qualifications
4+ years experience with various data analysis and visualization tools

Experience in Perl, Python, or another scripting language; command line usage

Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis

Experience with various machine learning techniques and key parameters that affect their performance

Strong personal interest in learning, researching, and creating new technologies with high commercial impact.

Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations

Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.
Preferred Qualifications
A track record of communicating well with software engineers and non-technical leaders in speech technology
Background in the fields of natural language processing or computational linguistics
Excellent verbal/written communication skills, including an ability to effectively collaborate with research and technical teams, and earn the trust and influence senior stakeholders.
The motivation to achieve results in a fast-paced environment.
Experience with statistical modelling / machine learning
Strong attention to detail
Comfortable working in a fast paced, highly collaborative, dynamic work environment
Ability to think creatively and solve problems


Apply Now at Amazon"|3.8 ★|$96K-$116K (Glassdoor Est.)
283|Senior Applied Scientist|"About the teamOur AI and Big Data teams build predictive models and big data systems for Zestimates, our personalization engines, computer vision, targeted advertising, and many other cutting-edge analytic products that power Zillow’s industry-leading online marketplace. We are always looking for the best model for the job, whether it is a random forest, deep neural nets, matrix factorization, or GLM. If we cannot find one, we will invent it. Our stack includes (but is not limited to) Spark and Hadoop. Languages in common use are Python, R, and Scala. The work we do is at the core of Zillow’s mission to empower the consumer and provide them with the tools to make informed decisions. Learn more at https://www.zillow.com/data-science and https://www.zillow.com/engineeringAbout the role

Zillow is looking for Senior Applied Scientists to join our growing world-class data science and engineering groups. You'll be focused on one of several initiatives, including personalization and recommendation, home price estimation and forecasting, advertising, new ventures like Instant Offers, and agent-related analytics, to help make Zillow the largest, most-trusted, and vibrant home-related market in the world.

You will collaborate with other Applied Data Scientists and Machine Learning Engineers to conduct cutting-edge applied research contributing to products, find insights in a diverse set of data and leverage those signals in new machine learning and statistical models using state-of-the-art techniques and tools, work closely with machine learning engineers to productionize and ship those models, and help build a better real estate experience for consumers, and a deeper understanding of our business and customers

Who you are
Have practical experience in statistical inference or predictive modeling
Have demonstrated project or team leadership (preferred)
Expert in algorithms for supervised or unsupervised learning
Completed a Masters degree or PhD in Computer Science, Statistics, Applied Mathematics, Operations Research, Econometrics, or related scientific discipline involving mathematical modelling (preferred)
2+ years industry experience with machine learning applied to big data.
Proven ability to conduct research, assimilate state-of-the-art methods from research papers, and turn product requirements in to algorithmic solutions.
Looking to work on a team to solve challenging problems
Regularly working in at least one of Python, R, or Scala
Get to know usZillow is the leading real estate and rental marketplace dedicated to empowering consumers with data, inspiration and knowledge around the place they call home, and connecting them with the best local professionals who can help. Zillow is part of Zillow Group, whose mission is to build the largest, most trusted and vibrant home-related marketplace in the world.

Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."|4.2 ★|
284|Data Engineer - Global|"Job Description
At Amazon, our goal is to be earth’s most customer-centric company and to create a safe environment for both our Customers and our associates. To achieve that, we need exceptionally talented, bright, dynamic, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history. We are looking for a talented data engineer to join the Restricted Products team based in our Seattle office.

This role will be a key member of the RP Business Intelligence team, focused on supporting the Restricted Products Supplier Engagement team and responsible for developing robust, scalable data models to support new supplier risk detection, assessment, and enforcement programs and tools. You’ll be challenged to innovate using a variety of technologies and data sources, and you will work with top-notch technical and non-technical professionals across multiple organizations and regions in order to develop and deliver complex solutions that will sustain operational excellence. We are looking for someone who is motivated by thinking big, moving fast, and inventing new ways to create and use data and available technologies at Amazon.


This role requires strong attention to detail, excellent analytical abilities, deep knowledge of business intelligence solutions, solid work ethic and drive, the ability to work independently and with primary stakeholders to solve complex medium and large scale issues, the ability to recommend solutions to unstructured problems, and the skill to manage both with and without authority. The successful candidate will be a motivated self-starter, comfortable with ambiguity, and will be comfortable extracting data from various sources to design/construct/execute complex data architectures that help to solve business problems.

Responsibilities

• Design, implement, and support analytical infrastructure
• Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL, Python, and AWS big data technologies.
• Explore and learn the latest technologies to provide new capabilities and increase efficiency.
• Collaborate with Business Analysts and Business Intelligence Engineers (BIEs) to recognize and help adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation.
• Collaborate with other tech teams to implement advanced analytics algorithms that exploit our rich datasets for statistical analysis, prediction, clustering and machine learning.
• Help continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers
• Provide wing-to-wing data engineering support for project lifecycle execution (project planning, execution, risk assessment and system availability)
• Participate in developing strategy recommendations


Basic Qualifications
· Bachelor's degree in computer science, engineering, mathematics, or equivalent professional experience in a related technical discipline
· 4+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets
· Demonstrated strength in data modeling, ETL development, and data warehousing
· Experience using big data technologies (Hadoop, Hive, Hbase, Spark, etc.)
· Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos etc.)
· Knowledge of data management fundamentals and data storage principles
· Knowledge of distributed systems as it pertains to data storage and computing
Preferred Qualifications
· Experience working with AWS big data technologies (Redshift, S3, EMR)
· Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy
· Experience providing technical leadership and mentoring other engineers for best practices on data engineering
· Familiarity with statistical models and data mining algorithms
· Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations
· Masters in computer science, mathematics, statistics, economics, or other quantitative fields.
· A proven track record of delivering initiatives from conception through completion on time, within budget and on or beyond scope






Apply Now at Amazon"|3.8 ★|$96K-$116K (Glassdoor Est.)
285|Data Engineer III|"Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutch’s pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nation’s first and largest cancer prevention research program, as well as the clinical coordinating center of the Women’s Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.
The Hutch Data Commonwealth (HDC) represents a new organization within the Fred Hutchinson Cancer Research Center with a mission to develop new capabilities and resources to facilitate the center’s interaction with large and complex data sets. As a member of the Data Engineering team, this position will play an important role in supporting the collection, management, and analysis of clinical, genomic, and other research data supporting research teams across Fred Hutch and other organizations. In this position you will work with multiple product teams and stakeholders defining and delivering innovative data solutions with traditional relational database technologies as well as applying modern data architecture building streaming data pipelines, large-scale distributed processing, and cloud data services. In addition to the technical implementations, this role will work closely with scientists, consortium partners, and other technical staff to design, develop, and manage innovative data solutions.
Successful candidates will have in-depth knowledge of current database and distributed systems technologies, demonstrated experience in design, development, implementation and management of modern data solutions, and be able to clearly articulate and present technical information to project teams and other non-technical stakeholders.
Reporting
The Data Engineer III position will report to the Senior Director of Engineering Operations. Following an agile-based project methodology, this position will work closely with the Product Management team on multiple projects on both independent and collaborative work assignments.
Responsibilities
The primary responsibilities of the Data Engineer III position include:
Contribute as a member of the Data Engineering team to the Clinical Data Platform and other shared data technologies to implement a modern data architecture for clinical, research, and other data analytics.
Work collaboratively on multiple projects as a technical resource to define, develop, and manage data solutions that support the requirements and objectives of the project, apply automation for operations and monitoring for ongoing support and administration, and provide feedback on technical solutions and options in design and planning sessions.
Develop high volume data pipelines, ETL transformations, and other data integration workflows across multiple sources while applying best practices in data integrity, data quality, and distributed data processing.
Develop advanced data analytics and reporting solutions using modern data architectures in a highly distributed data environment.
Apply robust and advanced security access and permission controls to meet regulatory compliance requirements, develop detailed access audit review and reporting, and define administration and security management procedures.
Qualifications
Minimum Qualifications
BS degree in Computer Science, Engineering, or equivalent experience.
Minimum 3 years demonstrated experience with hands-on database programming, design, and analysis.
Minimum 2 years of experience with relational database design and ETL integration development.
Demonstrated experience building and managing relational and NoSQL databases.
Proficient in one or more scripting languages. (Python, R, PowerShell, etc.)
Demonstrated prior experience defining logical and physical data objects using DDL, JSON, and XML.
Advanced level SQL query development including optimization and secondary indexing.
Demonstrated prior experience with common SDLC and Agile-based project methodologies.
Demonstrated prior experience with common source control and configuration management frameworks.
Demonstrated prior experience defining and delivering data analytics and reporting solutions.
Demonstrated prior experience defining and documenting data designs, data flow diagrams, and IT guides.
Demonstrated prior experience automating IT operations tasks, batch job scheduling, and job orchestration.
Demonstrated prior experience working in a high security regulated data environment (HIPAA, HITECH, etc.)
In-depth understanding of IT operations management, service level management, and database monitoring.
Preferred Qualifications
Experience with big data, distributed databases, and data analytics.
Experience with NoSQL document-based data stores such as MongoDB or Cassandra.
Experience developing stream processing based data pipelines using Apache Kafka.
Familiarity with Lambda, Kappa, and other modern data architectures
Expertise and knowledge of gathering and documenting analytic/reporting requirements.
Previous experience in a research/educational setting and/or support of clinical trials.
Experience with Lucene-based search frameworks (i.e. Solr, ElasticSearch).
In-depth Cloud infrastructure (IaaS) and platform (PaaS) design and planning.
Previous experience with healthcare delivery, clinical data reporting, and Electronic Health Record systems
Our Commitment to Diversity
We are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700."|4.1 ★|$95K-$107K (Glassdoor Est.)
